City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,60.46,67,40,14.97,scattered clouds
1,Albany,US,42.6001,-73.9662,21.31,76,10,4.18,clear sky
2,Castro,BR,-24.7911,-50.0119,61.56,84,2,2.1,clear sky
3,Itarema,BR,-2.9248,-39.9167,78.8,78,2,11.07,clear sky
4,Atuona,PF,-9.8,-139.0333,78.8,77,12,17.09,few clouds
5,Dvinskoy,RU,62.1535,45.1175,-2.63,100,97,3.91,overcast clouds
6,Vaini,TO,-21.2,-175.2,75.36,100,100,4.61,light intensity shower rain
7,Pevek,RU,69.7008,170.3133,-23.37,98,27,0.92,scattered clouds
8,Jamestown,US,42.097,-79.2353,29.79,45,0,10.36,clear sky
9,Qaanaaq,GL,77.484,-69.3632,-11.67,59,29,7.25,scattered clouds
10,Yellowknife,CA,62.456,-114.3525,-3.59,91,20,3.44,few clouds
11,Kaeo,NZ,-35.1,173.7833,77.32,96,99,6.44,overcast clouds
12,Faanui,PF,-16.4833,-151.75,81.01,75,100,20.13,light rain
13,Mataura,NZ,-46.1927,168.8643,60.48,34,8,2.75,clear sky
14,Port Alfred,ZA,-33.5906,26.891,72.93,79,82,4.97,broken clouds
15,Bukachacha,RU,52.9833,116.9167,9.72,74,17,1.59,few clouds
16,Lavrentiya,RU,65.5833,-171,-15.63,95,56,5.19,broken clouds
17,Phan Thiet,VN,10.9333,108.1,85.98,55,70,11.07,broken clouds
18,Qaqortoq,GL,60.7167,-46.0333,10.9,64,100,24.09,overcast clouds
19,Busselton,AU,-33.65,115.3333,69.08,51,70,20.04,broken clouds
20,Fukue,JP,32.6881,128.8419,46.76,53,75,5.75,broken clouds
21,Caluquembe,AO,-13.7833,14.6833,60.6,58,100,1.54,overcast clouds
22,Avarua,CK,-21.2078,-159.775,80.65,78,20,9.22,few clouds
23,Nichinan,JP,31.6,131.3667,47.88,44,99,1.21,overcast clouds
24,Alice Springs,AU,-23.7,133.8833,87.35,23,0,5.75,clear sky
25,Katsuura,JP,35.1333,140.3,46.51,31,16,4.5,few clouds
26,Carnarvon,AU,-24.8667,113.6333,76.28,48,6,21.09,clear sky
27,Bonham,US,33.5773,-96.1783,44.2,64,0,0,clear sky
28,Chuy,UY,-33.6971,-53.4616,63.79,74,41,15.66,scattered clouds
29,Ardalstangen,NO,61.2371,7.6983,34.11,99,100,2.62,overcast clouds
30,Aklavik,CA,68.2191,-135.0107,-20.09,91,100,19.39,overcast clouds
31,Lebu,CL,-37.6167,-73.65,59.22,92,3,15.41,clear sky
32,Dolores,AR,-36.3132,-57.6792,57.04,93,19,10.42,few clouds
33,Tigil,RU,57.8,158.6667,20.77,77,69,9.13,broken clouds
34,Lorengau,PG,-2.0226,147.2712,83.64,76,99,7.54,light rain
35,Pangnirtung,CA,66.1451,-65.7125,-38.09,96,100,4.47,overcast clouds
36,Kapaa,US,22.0752,-159.319,78.78,73,20,3,few clouds
37,Cidreira,BR,-30.1811,-50.2056,68.22,74,8,7.81,clear sky
38,Bredasdorp,ZA,-34.5322,20.0403,66.27,91,13,5.59,few clouds
39,Linhai,CN,28.85,121.1167,43.93,81,100,3.69,light rain
40,Pathein,MM,16.7833,94.7333,80.08,38,43,11.41,scattered clouds
41,Ginda,IN,30.6945,78.4932,38.37,44,1,2.84,clear sky
42,Juneau,US,58.3019,-134.4197,41.85,96,100,8.99,light rain
43,Mar Del Plata,AR,-38.0023,-57.5575,65.08,80,40,5.01,scattered clouds
44,Butaritari,KI,3.0707,172.7902,81.84,76,71,15.43,moderate rain
45,Barrow,US,71.2906,-156.7887,-27.38,68,0,14.97,clear sky
46,Tyup,KG,42.7276,78.3648,25.07,77,100,4.68,overcast clouds
47,Constitucion,CL,-35.3333,-72.4167,57.79,80,0,4.09,clear sky
48,Turukhansk,RU,65.8167,87.9833,-26.21,100,55,4.09,broken clouds
49,Airai,TL,-8.9266,125.4092,75.2,61,29,2.35,scattered clouds
50,Hambantota,LK,6.1241,81.1185,79.14,66,100,7.16,overcast clouds
51,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,0,clear sky
