City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Itarema,BR,78.8,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
4,Atuona,PF,78.8,few clouds,-9.8,-139.0333,Villa Enata
6,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
11,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
12,Faanui,PF,81.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Phan Thiet,VN,85.98,broken clouds,10.9333,108.1,Hotel Saigon-PT
22,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
24,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
26,Carnarvon,AU,76.28,clear sky,-24.8667,113.6333,Hospitality Carnarvon
34,Lorengau,PG,83.64,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
36,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Pathein,MM,80.08,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
44,Butaritari,KI,81.84,moderate rain,3.0707,172.7902,Isles Sunset Lodge
50,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
51,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
56,New Norfolk,AU,79.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
61,Atambua,ID,83.93,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
63,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,People ThankYou
68,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
70,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Mitsamiouli,KM,81.64,light rain,-11.3847,43.2844,Foyer ADM
93,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
94,Kirakira,SB,85.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
99,Bengkulu,ID,81.64,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
105,Kalmunai,LK,77.56,broken clouds,7.4167,81.8167,VS Villa
106,Caravelas,BR,76.24,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
110,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
111,Mogadishu,SO,75.97,broken clouds,2.0371,45.3438,Hotel Juba
118,Salinopolis,BR,77.67,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
121,Alofi,NU,82.29,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
122,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
129,Hobart,AU,80.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
135,Manaure,CO,77.32,clear sky,11.7751,-72.4445,Hotel Palaaima
136,Bambanglipuro,ID,85.41,overcast clouds,-7.95,110.2833,Puri Brata
145,Dingle,PH,83.75,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
150,Sawtell,AU,75.22,broken clouds,-30.3833,153.1,The Bungalow Sawtell
155,Bodden Town,KY,77.94,scattered clouds,19.2833,-81.25,Will T Place
158,Cockburn Town,TC,76.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
160,Vao,NC,80.89,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
161,Arraial Do Cabo,BR,75.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
171,Inhambane,MZ,77.65,broken clouds,-23.865,35.3833,Oceano
172,Champerico,GT,79.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
173,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
